identifier,name,token,synsets
G0001,Group 72,Group,[]
G0001,Group 72,72,[]
G0001,Axiom,Axiom,[]
G0002,Moafee,Moafee,[]
G0003,TG-2889,TG-2889,[]
G0003,Threat Group 2889,Threat,[]
G0003,Threat Group 2889,Group,[]
G0003,Threat Group 2889,2889,[]
G0003,Cleaver,Cleaver,[]
G0004,Vixen Panda,Vixen,[]
G0004,Vixen Panda,Panda,[]
G0004,APT15,APT15,[]
G0004,RoyalAPT,RoyalAPT,[]
G0004,Ke3chang,Ke3chang,[]
G0004,Playful Dragon,Playful,[]
G0004,Playful Dragon,Dragon,[]
G0004,Mirage,Mirage,[]
G0004,GREF,GREF,[]
G0005,APT12,APT12,[]
G0005,Numbered Panda,Numbered,[]
G0005,Numbered Panda,Panda,[]
G0005,DynCalc,DynCalc,[]
G0005,IXESHE,IXESHE,[]
G0005,DNSCALC,DNSCALC,[]
G0006,APT1,APT1,[]
G0006,Comment Group,Comment,[]
G0006,Comment Group,Group,[]
G0006,Comment Panda,Comment,[]
G0006,Comment Panda,Panda,[]
G0006,Comment Crew,Comment,[]
G0006,Comment Crew,Crew,[]
G0007,APT28,APT28,[]
G0007,Tsar Team,Tsar,[]
G0007,Tsar Team,Team,[]
G0007,Sofacy,Sofacy,[]
G0007,Sednit,Sednit,[]
G0007,SNAKEMACKEREL,SNAKEMACKEREL,[]
G0007,Fancy Bear,Fancy,[]
G0007,Fancy Bear,Bear,[]
G0007,Threat Group-4127,Threat,[]
G0007,Threat Group-4127,Group-4127,[]
G0007,Pawn Storm,Pawn,[]
G0007,Pawn Storm,Storm,[]
G0007,Swallowtail,Swallowtail,[]
G0007,TG-4127,TG-4127,[]
G0007,STRONTIUM,STRONTIUM,[]
G0007,Group 74,Group,[]
G0007,Group 74,74,[]
G0008,Carbanak,Carbanak,[]
G0008,Anunak,Anunak,[]
G0009,WebMasters,WebMasters,[]
G0009,PinkPanther,PinkPanther,[]
G0009,Shell Crew,Shell,[]
G0009,Shell Crew,Crew,[]
G0009,KungFu Kittens,KungFu,[]
G0009,KungFu Kittens,Kittens,[]
G0009,Deep Panda,Deep,[]
G0009,Deep Panda,Panda,[]
